2000|2008|F_HEADER|N|File Header||||2005-06-21 15:55:00
2001|2008|S_DETAIL|N|Detailed Transactions|2000|||2005-06-21 15:55:00
2002|2010|S_HEADER|N|Employee||||2005-06-30 21:15:00
2003|2010|S_DETAIL|N|Detail|2002|||2005-06-30 20:59:00
2004|2011|F_HEADER|N|Column Names||||2005-06-30 21:14:00
2005|2011|S_HEADER|N|Employee|2004|||2005-06-21 15:55:00
2006|2012|F_HEADER|N|File Header||||2005-06-30 21:12:00
2007|2012|S_DETAIL|N|Detailed Transactions|2006|||2005-06-30 21:12:00
2008|2014|S_HEADER|N|Employee||||2005-06-21 15:55:00
2009|2014|S_DETAIL|N|Detail|2008|||2005-06-21 15:55:00
2010|2015|F_HEADER|N|File Header||||2005-10-04 15:34:00
2011|2015|S_DETAIL|N|Detail|2010|||2005-06-21 15:55:00
2012|2015|F_FOOTER|N|File Footer||2010||2005-06-21 15:55:00
2013|2016|F_HEADER|N|File Header||||2005-06-30 21:17:00
2014|2016|S_DETAIL|N|Detailed Transactions|2013|||2005-06-21 15:55:00
2015|2018|S_HEADER|N|Employee||||2005-07-05 13:59:00
2016|2018|S_DETAIL|N|Detail|2015|||2005-07-05 13:59:00
2017|2019|F_HEADER|N|File Header||||2005-10-04 15:30:00
2018|2019|S_HEADER|N|Detail|2017|||2007-05-04 16:17:00
2019|2019|F_FOOTER|N|File Footer||2017||2005-07-05 13:59:00
2020|2020|F_HEADER|N|File Header||||2005-07-05 13:59:00
2021|2020|S_DETAIL|N|Detailed Transactions|2020|||2005-07-05 13:59:00
2025|2030|F_HEADER|N|File Header||||2006-04-24 20:55:00
2026|2030|S_DETAIL|N|Detailed Transactions|2025|||2006-04-24 20:55:00
2027|2032|S_HEADER|N|Employee||||2006-04-24 20:55:00
2028|2032|S_DETAIL|N|Detail|2027|||2006-04-24 20:55:00
2029|2033|F_HEADER|N|Column Names||||2006-04-24 20:55:00
2030|2033|S_HEADER|N|Employee|2029|||2006-04-24 20:55:00
2031|2034|F_HEADER|N|File Header||||2006-04-24 20:55:00
2032|2034|S_DETAIL|N|Detailed Transactions|2031|||2006-04-24 20:55:00
2033|2036|S_HEADER|N|Employee||||2006-04-24 20:55:00
2034|2036|S_DETAIL|N|Detail|2033|||2006-04-24 20:55:00
2035|2037|F_HEADER|N|File Header||||2006-04-24 20:55:00
2036|2037|S_DETAIL|N|Detail|2035|||2006-04-24 20:55:00
2037|2037|F_FOOTER|N|File Footer||2035||2006-04-24 20:55:00
2038|2038|F_HEADER|N|File Header||||2006-04-24 20:55:00
2039|2038|S_DETAIL|N|Detailed Transactions|2038|||2006-04-24 20:55:00
2045|2041|F_HEADER|N|fileheader||||2006-12-28 17:34:00
2046|2041|S_DETAIL|N|SectionDetails|2045|||2006-12-28 17:34:00
2055|2052|F_HEADER|N|Header||||2007-05-04 17:57:00
2056|2052|S_DETAIL|N|Detail|2055|||2007-05-04 17:57:00
2057|2054|F_HEADER|N|Header||||2007-05-04 17:57:00
2058|2054|S_DETAIL|N|Detail|2057|||2007-05-04 17:57:00
2059|2056|F_HEADER|N|Header||||2007-05-04 17:57:00
2060|2056|S_DETAIL|N|Detail|2059|||2007-05-04 17:57:00
2065|2071|F_HEADER|N|File Header||||2007-12-05 03:25:00
2066|2071|S_DETAIL|N|Attendee Detailed Transactions|2065|||2007-12-05 03:25:00
2067|2072|F_HEADER|N|File Header||||2007-12-05 03:25:00
2068|2072|S_DETAIL|N|Attendee Detailed Transactions|2067|||2007-12-05 03:25:00
2069|2073|F_HEADER|N|File Header||||2007-12-05 03:25:00
2070|2073|S_DETAIL|N|Attendee Detailed Transactions|2069|||2007-12-05 03:25:00
2071|2074|F_HEADER|N|File Header||||2007-12-05 03:25:00
2072|2074|S_DETAIL|N|Attendee Detailed Transactions|2071|||2007-12-05 03:25:00
2073|2076|F_HEADER|N|File Header||||2007-10-10 15:50:00
2074|2076|S_DETAIL|N|Detail|2073|||2007-10-10 15:50:00
