002000|en|Y|Disputed|Dispute|Mark this invoice as disputed in the workflow, waiting for CR Processor and Issuer to solve the situation.||2012-01-21 02:43:00
002001|en|Y|Pending Exception Review|Pending Exception Review|Report is pending exception review||2013-11-26 11:01:00
002002|en|Y|Submitted and Pending Concur Audit Review|Concur Audit|Report is pending Concur Audit Review||2014-01-23 16:32:00
002004|en|Y|Pending Travel Agency Update|Pending Travel Agency Update|Request is submitted and pending update by the Travel Agency||2015-10-12 19:18:00
002006|en|Y|CA Issued|Cash Advance Final Check before Issue|Cash Advance Final Check before Issue||2017-09-28 05:32:00
002007|en|Y|Invoice Checked|Invoice Checked|Invoice Checked||2017-11-23 07:04:00
A_AAFH|en|Y|Anomaly & Fraud Check|Anomaly & Fraud Check|Report submission triggers Anomaly & Fraud Check||2013-05-18 01:39:00
A_ACCO|en|Y|Approved & In Accounting Review|Accounting Review|Report is pending reviews||2005-11-03 19:11:00
A_APPR|en|Y|Approved|Approve|Report has been approved||2005-06-21 15:48:00
A_EXTV|en|Y|Pending External Validation|Pending External Validation|Report is pending external validation||2010-09-18 04:39:00
A_FCHK|en|Y|Pending Funds Check|Pending Funds Check|Report is pending funds check||2023-03-16 23:15:00
A_FILE|en|Y|Submitted|Submitted|Report has been submitted||2005-06-21 15:48:00
A_FOBG|en|Y|Pending Funds Reservation|Pending Funds Reservation|Report is pending funds reservation||2023-03-16 23:15:00
A_INTV|en|Y|Pending Internal Validation|Pending Internal Validation|Report is pending internal validation||2021-01-12 23:28:00
A_NOTF|en|Y|Not Submitted|Not Submitted|Report has not been submitted||2005-06-21 15:48:00
A_PBDG|en|Y|Pending Budget Approval|Pending Budget Approval|Report approval is pending Budget approval||2012-06-23 01:46:00
A_PECO|en|Y|Pending Cost Object Approval|Pending Cost Object Approval|Report approval is pending Cost object approval||2009-01-16 21:35:00
A_PEND|en|Y|Submitted & Pending Approval|Pending Approval|Report is pending manager approval||2005-11-03 19:11:00
A_PFIL|en|Y|Presubmit Validation|Validate Before Submit|Validate the report prior to submit||2017-03-19 00:44:00
A_PREC|en|Y|Recalled to Processor|Recall to Processor|Report is recalled by processor||2017-03-19 00:44:00
A_PVAL|en|Y|Pending Validation|Pending Validation|Report is pending prepayment validation||2005-06-21 15:48:00
A_RESU|en|Y|Sent Back to Employee|Send Back to Employee|Report needs to be resubmitted||2005-06-21 15:50:00
A_RHLD|en|Y|Hold for Receipt Image|Hold for Receipt Image|Report submission is pending receipt images||2008-03-14 17:20:00
A_TEXP|en|Y|Approval Time Expired|Approval Time Expired|Report expired in approval queue||2005-06-21 15:52:00
A_TREC|en|Y|Recalled by Traveler|Recall|Report is recalled by traveler||2017-03-19 00:44:00
C_APPR|en|Y|Approved|Approve|Cash Advance has been Approved||2005-06-21 15:48:00
C_COMP|en|Y|Completed|Complete|Cash Advance is completed||2005-06-21 15:48:00
C_FILE|en|Y|Filed|File|Cash Advance has been submitted||2005-06-21 15:48:00
C_ISSU|en|Y|Issued|Issue|Cash Advance has been issued||2005-06-21 15:48:00
C_NISU|en|Y|Not Issued|Do not Issue|Cash Advance has been cancelled||2005-06-21 15:48:00
C_NOTF|en|Y|Not Submitted|Not Submitted|Cash Advance has not been submitted||2014-01-18 04:18:00
C_PECA|en|Y|Pending Expense Cash Advance Administrator|Pending Expense Cash Advance Administrator|Cash Advance is pending Expense Cash Advance Administrator||2005-06-21 15:48:00
C_PEND|en|Y|Pending Approval|Pending Approval|Cash Advance is pending manager approval||2005-06-21 15:48:00
C_REJE|en|Y|Sent Back to Employee|Reject|Cash Advance has been Rejected||2014-01-18 04:19:00
ET51  |en|Y|Sanctioned|Sanctioned|Vendor BPS Status is the Partner was blocked due to Trade restrictions||2023-10-05 22:53:00
ET52  |en|Y|Passed|Passed|Vendor BPS Status is the Partner was released with Trade restrictions||2023-10-05 22:53:00
ETOK  |en|Y|Passed|Released|Vendor BPS Status is released and can be used without restrictions||2023-09-22 07:03:00
ETS0  |en|Y|Pending Review|Pending Review|Vendor BPS Status is pending for review||2023-10-20 16:44:00
ETS02 |en|Y|Pending Review|Pending Review|Vendor BPS Status is pending for review||2023-10-20 16:44:00
