AUSTRALIAN|pay_single_day_trip_allowance|en|Y|Pay Single Day Trip Allowance (Y/N)|Pay the authorized single day trip allowance.||2005-06-21 15:51:00
AUSTRALIAN|trip_duration_min_hours|en|Y|Trip Duration Minimum Hours (integer between 0 and 23)|Minimum hours in a single day trip for the trip to qualify for a partial travel allowance (only if pay_single_day_trip_allowance is set to Y).||2005-06-21 15:51:00
AUSTRIA|add_overnight_after_deductions|en|Y|Add Overnight After Meal Deductions (Y/N)|If Y then the Overnight amount is added after meal deductions.  If N then the Overnight amount is added before meal deductions.||2014-07-12 03:26:00
AUSTRIA|comp_rate_mixed_hrs_handling|en|Y|Company time band rate handling of mixed hours (default/domestic_alt1)|The method for handling a partial day with mixed foreign and domestic hours when time bands are in use for company rates||2011-11-19 02:33:00
POLISH|high_hours|en|Y|High Hours (integer between 0 and 23)|Minimum hours for a single day at a domestic/foreign location to qualify for the high meals allowance; Must be greater than low_hours.||2006-08-18 04:33:00
POLISH|international_combined_lunch_dinner_deduction_factor|en|Y|International combined lunch and dinner factor|Maximum International percentage at which provided lunch and dinner can be deducted, combined||2008-10-17 20:22:00
AUSTRIA|comp_rate_uses_time_bands|en|Y|Company rates use time band rates (Y/N)|Company rates use time band rates||2011-07-23 01:37:00
AUSTRIA|d_x_monthly_trip_meals_amount|en|Y|Domestic Extended Monthly Trip Amount (amount)|Meals allowance amount for domestic days in a calendar month for an extended domestic trip.||2007-11-29 20:59:00
AUSTRIA|d_x_monthly_trip_meals_amount_custom|en|Y|Domestic Extended Monthly Trip Partial Amount (amount)|Meals allowance amount for partial domestic days in a calendar month for an extended domestic trip.||2007-11-29 20:59:00
AUSTRIA|d_x_monthly_trip_meals_limit|en|Y|Domestic Extended Monthly Trip Days (integer)|The number of days in a given month over which the domestic extended monthly trip rules apply.||2007-11-29 20:59:00
AUSTRIA|domestic_extended_trip_factor|en|Y|Domestic Extended Trip Factor (percent)|Percentage factor applied to meals and lodging allowance for days in an extended domestic trip.||2007-02-02 05:02:00
AUSTRIA|domestic_extended_trip_limit|en|Y|Domestic Extended Trip Days (integer)|The number of days over which the domestic extended trip rules apply.||2007-02-02 05:02:00
AUSTRIA|domestic_high_hours|en|Y|Domestic High Hours (integer between 0 and 23)|Minimum hours for a single day at a domestic location to qualify for the high meals allowance; Must be greater than domestic_low_hours.||2006-08-18 04:33:00
AUSTRIA|domestic_low_hours|en|Y|Domestic Low Hours (integer between 0 and 23)|Minimum hours for a single day at a domestic location to qualify for the low meals allowance; Must be less than domestic_high_hours.||2006-08-18 04:33:00
AUSTRIA|domestic_low_hours_valid_first_last_day|en|Y|Apply Domestic Low Hours for First and Last Day of Trip|If checked then dom_low_hours will apply for first and last day of the trip.||2017-02-18 02:12:00
AUSTRIA|international_extended_trip_factor_1|en|Y|International Extended Trip 1 Factor (percent)|Percentage factor applied to meals and lodging allowance for days in an extended international trip 1.||2007-02-02 05:02:00
AUSTRIA|international_extended_trip_factor_2|en|Y|International Extended Trip 2 Factor (percent)|Percentage factor applied to meals and lodging allowance for days in an extended international trip 2.||2007-02-02 05:02:00
AUSTRIA|international_extended_trip_limit_1|en|Y|International Extended Trip Days 1 (integer)|The number of days over which the international extended trip rules 1 apply.||2007-02-02 05:02:00
AUSTRIA|international_extended_trip_limit_2|en|Y|International Extended Trip Days 2 (integer)|The number of days over which the international extended trip rules 2 apply.||2007-02-02 05:02:00
AUSTRIA|intl_high_hours|en|Y|International High Hours (integer between 0 and 23)|Minimum hours for a partial day at an international location to qualify 2/3 of a full travel allowance; Must be greater than intl_mid_hours.||2006-08-18 04:33:00
AUSTRIA|intl_high_meals_rate|en|Y|International High Meals Rate (percent)|Percentage factor applied to the high meals rate for international locations specified.||2006-08-18 04:33:00
AUSTRIA|intl_low_hours|en|Y|International Low Hours (integer between 0 and 23)|Minimum hours for a partial day at an international location for which travel allowance is zero; Must be less than intl_mid_hours.||2006-08-18 04:33:00
AUSTRIA|intl_low_meals_rate|en|Y|International Low Meals Rate (percent)|Percentage factor applied to the low meals rate for international locations specified.||2006-08-18 04:33:00
AUSTRIA|intl_mid_hours|en|Y|International Mid Hours (integer between 0 and 23)|Minimum hours for a partial day at an international location to qualify 1/3 of a full travel allowance(mid allowance); Must be greater than intl_low_hours.||2006-08-18 04:33:00
AUSTRIA|intl_provided_meals_factor|en|Y|International Provided Meals Limit (percent)|The maximum provided meals deduction amount for international locations specified by Austria.||2006-08-18 04:33:00
AUSTRIA|use_24hour_day|en|Y|Use 24 hour day (domestic)|Use 24 hour day for determining the allowance amounts of domestic travel||2007-11-29 20:59:00
